,Area_ha,Perim_km,dz_area,Distance_km,Num_gSpaces
count,3780.0,3780.0,3780.0,3780.0,3780.0
mean,360.5372645502645,6.352933862433862,3.6053725041582503,0.7289444444444444,0.726984126984127
std,885.5725626004491,8.926560946506354,8.855725918338006,1.035935209983598,1.0783352869193847
min,0.74,0.37,0.007425672031789925,0.0,0.0
25%,9.37,1.46,0.09372547760827901,0.13,0.0
50%,18.54,2.22,0.18537445849553102,0.33,0.0
75%,116.86500000000001,5.8525,1.1686970643336139,0.76,1.0
max,10955.25,82.29,109.5524666581873,9.15,9.0
