,UR_ex,OccHH_ex,UR_ap,OccHH_ap,settlement_area,Suitable_area_300m,Unsuitable_area_300m,Suitable_area_2km,Unsuitable_area_2km,Suitable_area_5km,Unsuitable_area_5km,Suitable_area_10km,Unsuitable_area_10km
count,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0,527.0
mean,2715.3567362428844,1097.043643263757,2715.3206831119546,1096.9487666034156,1.2144063299539918,0.24757115749525616,2.5617647058823527,1.8119544592030363,18.782333965844405,8.609582542694497,82.73404174573055,32.66104364326376,282.24922201138526
std,14325.873802169668,6047.765144211249,14323.636369233598,6046.010890453656,4.834004457268706,0.8589560503034136,5.742383525409674,2.123939004599825,11.820633940173023,6.0722944511480765,25.32583016521254,18.389164653822426,68.03396359911534
min,50.0,20.0,43.0,18.0,0.01725829557719111,0.0,0.35000000000000003,0.03,4.14,0.35000000000000003,14.01,2.49,28.53
25%,143.0,54.0,141.0,54.0,0.09882956292643696,0.01,0.88,0.65,14.395,4.455,75.19,21.335,255.255
50%,357.0,132.0,353.0,129.0,0.2117635977649969,0.07,1.25,1.24,16.06,7.49,81.02,29.26,297.45
75%,1031.0,390.5,1029.5,389.0,0.5870335900332925,0.21,2.035,2.385,18.985,11.495000000000001,87.975,40.405,313.975
max,280211.0,120341.0,280138.0,120285.0,78.57193563681406,13.97,89.73,25.0,163.78,63.45,332.43,156.58,717.0500000000001
